Name,City,IATA Code,Destination Count,Latitude,Longitude
Las Américas International Airport,Santo Domingo,SDQ,45,18.42970085144,-69.668899536133
L'Espérance Airport,St. Martin,SFG,4,18.099899291992,-63.047199249268
George F. L. Charles Airport,Castries,SLU,11,14.0202,-60.992901
Princess Juliana International Airport,Philipsburg,SXM,58,18.0410003662,-63.108898162799996
Beihai Airport,Beihai,BHY,20,21.5394,109.293999
Guangzhou Baiyun International Airport,Guangzhou,CAN,338,23.39240074157715,113.29900360107422
Zhengzhou Xinzheng International Airport,Zhengzhou,CGO,174,34.519699096699995,113.84100341799999
Longjia Airport,Changchun,CGQ,64,43.9962005615,125.684997559
Chongqing Jiangbei International Airport,Chongqing,CKG,270,29.719200134277344,106.64199829101562
Changsha Huanghua International Airport,Changcha,CSX,189,28.189199447600004,113.220001221
Chengdu Shuangliu International Airport,Chengdu,CTU,324,30.578500747680664,103.9469985961914
Changzhou Benniu Airport,Changzhou,CZX,37,31.919701,119.778999
Datong Airport,Datong,DAT,11,40.060299,113.48200200000001
Daocheng Yading Airport,Daocheng,DCY,4,29.323056,100.053333
Zhoushuizi Airport,Dalian,DLC,142,38.9656982421875,121.53900146484376
Dunhuang Airport,Dunhuang,DNH,7,40.16109848022461,94.80919647216795
Ordos Ejin Horo Airport,Dongsheng,DSN,25,39.49,109.861388889
Dayong Airport,Dayong,DYG,21,29.1028,110.443001
Fuzhou Changle International Airport,Fuzhou,FOC,133,25.935100555419922,119.66300201416016
Gannan Xiahe Airport,Xiahe city,GXH,2,34.8105,102.6447
Handan Airport,Handan,HDG,6,36.5258333333,114.425555556
Baita International Airport,Hohhot,HET,87,40.851397999999996,111.82399699999999
Hefei Luogang International Airport,Hefei,HFE,77,31.78000068664551,117.2979965209961
Taiping Airport,Harbin,HRB,129,45.6234016418457,126.25
Incheon International Airport,Seoul,ICN,370,37.46910095214844,126.45099639892578
Jiayuguan Airport,Jiayuguan,JGN,7,39.856899,98.3414
Xishuangbanna Gasa Airport,Jinghonggasa,JHG,24,21.973899841308594,100.76000213623048
Qianjiang Wulingshan Airport,Qianjiang,JIQ,7,29.5133333333,108.831111111
Quanzhou Jinjiang International Airport,Quanzhou,JJN,44,24.7964,118.589996
